gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,28,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,50.35,1409.8,No
Female,0,Yes,Yes,69,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),103.67,7153.2300000000005,No
Female,0,Yes,No,59,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,No,One year,No,Bank transfer (automatic),77.36,4564.24,No
Female,1,No,Yes,33,Yes,Yes,No,No internet service,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,69.8,2303.4,No
Male,0,Yes,Yes,62,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Mailed check,92.34,5725.08,Yes
Female,0,No,No,50,Yes,No,No,No internet service,No,No,No,No internet service,No,Two year,No,Electronic check,99.56,4978.0,Yes
Male,0,No,Yes,19,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,One year,No,Mailed check,86.61,1645.59,No
Female,1,No,No,69,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),62.0,4278.0,No
Female,0,No,Yes,66,Yes,No,Fiber optic,No internet service,No,No,Yes,No,No,One year,No,Credit card (automatic),55.93,3691.38,No
Female,0,Yes,Yes,47,Yes,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,Two year,No,Mailed check,95.17,4472.99,No
Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Two year,Yes,Mailed check,69.79,2018.4899999999998,No
Female,0,Yes,No,68,Yes,No,DSL,Yes,No,Yes,No internet service,No internet service,No,Two year,No,Electronic check,88.44,6013.92,No
Female,0,Yes,No,33,No,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),107.04,3532.32,No
Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),109.59,1424.67,Yes
Female,1,Yes,Yes,54,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Electronic check,45.77,2471.5800000000004,No
Male,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,36.79,257.53,Yes
Male,1,No,Yes,14,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),44.13,617.82,No
Female,1,Yes,Yes,19,Yes,Yes,No,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.14,1769.66,No
Female,0,Yes,No,54,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),55.01,2970.54,No
Female,0,No,Yes,20,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,35.34,706.8000000000001,Yes
Male,1,Yes,Yes,29,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No internet service,Two year,Yes,Electronic check,27.84,807.36,No
Female,0,Yes,Yes,24,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Mailed check,50.73,1217.52,No
Male,0,No,Yes,63,No,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),31.61,1991.43,No
Male,0,Yes,Yes,57,Yes,No phone service,No,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),33.64,1917.48,No
Male,0,Yes,Yes,8,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),86.39,691.12,No
Male,1,Yes,No,62,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,19.97,1238.1399999999999,No
Male,0,No,Yes,29,Yes,No,No,No internet service,No,No internet service,No,Yes,No internet service,One year,No,Bank transfer (automatic),29.76,863.0400000000001,No
Female,0,Yes,Yes,17,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,One year,No,Electronic check,102.44,1741.48,No
Female,0,Yes,Yes,66,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,No,Two year,Yes,Mailed check,102.49,6764.339999999999,No
Female,0,No,No,6,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,50.92,305.52,No
Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Two year,No,Electronic check,26.8,1554.4,No
Female,0,No,Yes,69,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,88.5,6106.5,No
Male,0,No,No,28,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No,One year,Yes,Mailed check,54.01,1512.28,No
Female,0,Yes,Yes,62,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Credit card (automatic),22.55,1398.1000000000001,No
Female,0,No,Yes,41,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),33.78,1384.98,Yes
Male,0,No,Yes,69,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Two year,No,Bank transfer (automatic),31.72,2188.68,No
Female,1,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,No,Mailed check,76.91,3153.31,No
Male,0,No,Yes,49,Yes,No,Fiber optic,No internet service,No,No,Yes,No,No internet service,Two year,No,Credit card (automatic),107.81,5282.6900000000005,No
Female,0,No,No,49,No,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),97.31,4768.1900000000005,No
Male,1,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,One year,No,Mailed check,72.65,5158.150000000001,No
Female,0,Yes,Yes,3,Yes,No,No,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,60.22,180.66,No
Female,0,Yes,Yes,10,Yes,Yes,No,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),79.87,798.7,Yes
Male,0,No,Yes,35,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,No internet service,No,One year,No,Bank transfer (automatic),62.38,2183.3,Yes
Male,0,Yes,Yes,2,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,42.61,85.22,Yes
Male,0,No,Yes,24,No,No,No,No internet service,Yes,No,No internet service,No,No internet service,One year,No,Bank transfer (automatic),85.92,2062.08,No
Male,0,No,Yes,38,Yes,No,No,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,105.32,4002.16,Yes
Male,0,No,Yes,22,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,55.29,1216.3799999999999,No
Male,0,No,No,26,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.15,2655.9,No
Male,0,No,Yes,43,Yes,No phone service,No,No internet service,No,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),61.11,2627.73,No
Male,0,No,Yes,55,Yes,No,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.13,3197.15,No
Female,0,No,No,39,No,No phone service,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,20.83,812.3699999999999,No
Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),87.53,2538.37,No
Male,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.75,1975.0,No
Female,1,No,Yes,41,Yes,No,No,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.36,3458.7599999999998,Yes
Female,0,No,Yes,54,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,One year,No,Electronic check,33.14,1789.56,No
Female,0,Yes,No,20,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),28.33,566.5999999999999,No
Female,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No,One year,Yes,Electronic check,75.29,1430.5100000000002,No
Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,One year,No,Credit card (automatic),58.15,3837.9,Yes
Female,0,Yes,No,30,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),60.91,1827.3,No
Male,1,Yes,No,53,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),114.78,6083.34,No
Female,1,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,90.39,3073.26,Yes
Female,0,No,Yes,22,Yes,No,DSL,No,No,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,59.18,1301.96,No
Female,1,Yes,Yes,67,Yes,No,No,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,19.91,1333.97,No
Male,0,Yes,No,6,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,21.41,128.46,Yes
Female,0,Yes,No,27,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),86.48,2334.96,No
Male,0,Yes,Yes,10,Yes,Yes,No,No internet service,Yes,No,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),101.77,1017.6999999999999,Yes
Female,1,Yes,Yes,48,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),88.77,4260.96,No
Male,0,No,Yes,70,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,58.59,4101.3,Yes
Female,0,Yes,No,59,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,21.11,1245.49,Yes
Male,0,No,Yes,59,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Credit card (automatic),114.74,6769.66,No
Male,0,Yes,Yes,2,Yes,No phone service,No,Yes,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),116.63,233.26,No
Female,0,No,Yes,29,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,72.94,2115.2599999999998,Yes
Male,0,No,Yes,68,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),25.07,1704.76,No
Female,0,No,No,65,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,One year,Yes,Credit card (automatic),72.1,4686.5,No
Female,0,No,Yes,26,Yes,Yes,No,No internet service,No,No,No internet service,No,No,Two year,Yes,Credit card (automatic),107.23,2787.98,No
Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),86.0,860.0,Yes
Female,0,No,No,53,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,90.0,4770.0,Yes
Female,0,Yes,Yes,59,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),26.5,1563.5,No
Female,0,No,Yes,22,Yes,No,DSL,Yes,No internet service,No,No internet service,No,No,Two year,No,Mailed check,28.65,630.3,No
Female,1,Yes,Yes,51,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,30.73,1567.23,Yes
Female,0,No,No,48,Yes,No,Fiber optic,No,No,No internet service,No,No,No internet service,One year,No,Bank transfer (automatic),108.44,5205.12,Yes
Female,0,No,Yes,21,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,70.58,1482.18,No
Female,0,Yes,Yes,22,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),97.16,2137.52,Yes
Female,0,No,No,30,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),29.53,885.9000000000001,No
Male,0,Yes,Yes,25,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),110.76,2769.0,No
Male,0,Yes,No,28,Yes,Yes,DSL,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),100.11,2803.08,Yes
Female,0,Yes,Yes,65,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,40.48,2631.2,No
Female,0,Yes,Yes,45,Yes,Yes,DSL,No internet service,Yes,No,Yes,No internet service,No,Two year,No,Credit card (automatic),105.42,4743.9,No
Female,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,44.34,3015.1200000000003,No
Female,0,No,No,7,No,Yes,No,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Credit card (automatic),38.53,269.71000000000004,Yes
Female,0,Yes,Yes,49,Yes,No,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,44.42,2176.58,Yes
Female,0,No,No,9,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),109.0,981.0,No
Female,0,No,No,36,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,109.56,3944.16,No
Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,50.9,50.9,No
Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.54,885.4000000000001,Yes
Female,0,Yes,Yes,36,Yes,Yes,No,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,85.57,3080.5199999999995,No
Male,0,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),98.66,4538.36,No
Female,0,No,Yes,32,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,47.65,1524.8,No
Female,0,No,No,32,Yes,No,DSL,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),69.01,2208.32,No
Male,1,No,Yes,6,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,84.77,508.62,No
Female,1,Yes,Yes,48,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),20.63,990.24,No
Male,0,Yes,Yes,38,No,No,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),55.67,2115.46,Yes
Female,0,No,Yes,17,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,87.59,1489.03,No
Female,0,No,Yes,27,Yes,No phone service,No,No internet service,No,No,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),43.26,1168.02,No
Male,0,No,No,54,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),113.77,6143.58,No
Female,0,No,No,50,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),21.02,1051.0,No
Male,0,Yes,Yes,35,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,113.81,3983.35,No
Female,0,No,No,25,Yes,Yes,No,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,39.68,992.0,No
Male,0,Yes,Yes,28,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No,One year,No,Bank transfer (automatic),22.88,640.64,No
Male,0,Yes,No,15,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No,No internet service,One year,No,Credit card (automatic),47.25,708.75,Yes
Female,0,No,Yes,4,Yes,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,96.63,386.52,No
Female,0,No,Yes,27,Yes,No phone service,DSL,No internet service,No,No,No,No,No,One year,No,Mailed check,93.24,2517.48,No
Male,0,No,Yes,26,Yes,No phone service,DSL,Yes,No,No internet service,No,No internet service,No,One year,No,Credit card (automatic),38.88,1010.8800000000001,No
Female,0,Yes,No,19,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),37.68,715.92,No
Female,0,No,Yes,17,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No,One year,No,Electronic check,82.26,1398.42,No
Female,0,No,Yes,43,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,No,One year,Yes,Electronic check,63.81,2743.83,Yes
Male,1,Yes,Yes,41,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),97.23,3986.4300000000003,No
Male,0,No,Yes,42,Yes,No,No,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),20.41,857.22,No
Male,0,Yes,Yes,50,No,Yes,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Two year,No,Mailed check,79.04,3952.0000000000005,Yes
Male,0,No,No,40,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,91.07,3642.7999999999997,No
Male,0,Yes,No,39,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),117.34,4576.26,Yes
Male,0,No,Yes,23,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,85.88,1975.2399999999998,No
Male,0,No,No,52,Yes,Yes,DSL,No,No,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),41.18,2141.36,No
Male,0,Yes,Yes,47,Yes,No phone service,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),28.82,1354.54,No
Male,0,Yes,No,63,Yes,Yes,No,No,No internet service,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),82.09,5171.67,Yes
Female,0,No,No,69,Yes,Yes,DSL,No,No,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),70.32,4852.08,No
Male,0,Yes,Yes,43,Yes,No,No,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,107.91,4640.13,No
Female,0,Yes,No,48,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,90.66,4351.68,No
Female,0,Yes,Yes,34,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),68.97,2344.98,No
Female,0,Yes,Yes,40,Yes,No phone service,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),58.36,2334.4,No
Male,1,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),58.44,3564.8399999999997,No
Male,0,No,Yes,50,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),40.63,2031.5000000000002,No
Male,0,Yes,Yes,67,Yes,No,No,No internet service,Yes,No,No,No,No internet service,One year,No,Bank transfer (automatic),19.73,1321.91,No
Male,0,Yes,Yes,62,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No,Two year,No,Mailed check,75.49,4680.38,No
Female,0,Yes,No,58,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,One year,No,Credit card (automatic),39.24,2275.92,No
Male,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),38.83,1281.3899999999999,No
Male,0,No,Yes,16,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No,One year,Yes,Mailed check,30.54,488.64,No
Male,0,No,No,48,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No internet service,One year,No,Mailed check,36.96,1774.08,Yes
Male,0,Yes,No,10,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No,One year,Yes,Electronic check,21.18,211.8,No
Male,0,Yes,Yes,38,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.42,3245.96,Yes
Female,0,Yes,Yes,19,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,Yes,One year,Yes,Electronic check,58.14,1104.66,No
Male,0,No,Yes,36,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,74.15,2669.4,No
Female,0,Yes,Yes,59,Yes,No,No,No,Yes,Yes,Yes,No internet service,No,One year,Yes,Electronic check,81.7,4820.3,No
Male,0,No,Yes,63,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,115.25,7260.75,No
Female,0,Yes,No,46,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),24.83,1142.1799999999998,No
Male,0,No,Yes,3,Yes,No,DSL,Yes,No,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,59.79,179.37,Yes
Male,1,Yes,Yes,65,Yes,No,No,No,No,Yes,No internet service,No,No,One year,Yes,Mailed check,42.59,2768.3500000000004,Yes
Female,0,No,Yes,8,Yes,No phone service,DSL,No,No,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,65.67,525.36,No
Female,0,Yes,No,51,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No,Two year,No,Credit card (automatic),110.05,5612.55,No
Female,0,Yes,Yes,6,Yes,No,DSL,No,No internet service,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),90.4,542.4000000000001,Yes
Male,0,Yes,No,39,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,84.19,3283.41,No
Female,0,No,Yes,60,Yes,No,DSL,Yes,No,No,No,No,No internet service,Two year,Yes,Electronic check,62.12,3727.2,No
Male,0,Yes,Yes,28,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),85.11,2383.08,No
Male,0,No,Yes,54,Yes,No,DSL,No internet service,No,No,No,No,No,One year,No,Mailed check,21.24,1146.9599999999998,No
Female,0,No,Yes,37,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,76.62,2834.94,No
Female,0,Yes,Yes,9,No,No,DSL,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),73.38,660.42,Yes
Male,1,Yes,Yes,56,Yes,No phone service,No,Yes,No internet service,No,No,Yes,No internet service,Two year,Yes,Electronic check,52.66,2018.4899999999998,Yes
Male,0,Yes,Yes,59,Yes,Yes,No,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,38.15,2250.85,No
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,One year,Yes,Mailed check,98.76,197.52,Yes
Female,0,Yes,Yes,61,No,No,No,Yes,Yes,No,No,No,No internet service,One year,Yes,Mailed check,23.39,1426.79,No
Female,1,No,No,58,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No,Yes,One year,No,Credit card (automatic),24.97,1448.26,No
Male,0,No,Yes,60,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,62.05,3723.0,Yes
Male,0,Yes,Yes,40,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,43.26,1730.3999999999999,No
Male,1,Yes,Yes,36,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,92.55,3331.7999999999997,No
Male,1,Yes,Yes,37,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,No,Bank transfer (automatic),81.42,3012.54,No
Male,0,Yes,Yes,18,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),95.25,1714.5,Yes
Male,0,Yes,Yes,63,Yes,Yes,No,No internet service,Yes,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),50.47,3179.61,Yes
Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),92.05,2025.1,Yes
Male,0,No,Yes,11,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),104.23,1146.53,No
